obniżyć,reduce,decrease,
odpowiedzialność,responsibility,,
odpowiedzialny,responsible,,
odpowiedź (reakcja),response,,
odrębny,distinct,,
odwołać,invoke,,
ogłoszenie,advertisement,,
opis,description,,
osiągać,achieve,,
ostry,sharp,,
oszczędzać,save,,
otaczać,surround,,
otrzymać,receive,,
parlament,parliament,,
patelnia,pan,,
personel,staff,,
pewny,certain,,
pik,spade,,
plac targowy,market place,,
podatek,tax,,
podjąć próbę,make an attempt,,
podkreślać,emphasize,,
podnieść,raise,,
podpis,caption,,
podwórze,yard,,
podział,division,,
pogrubienie,bold,,
pojęcie,concept,,
pokój ratunkowy,emergency room,,
polepszyć,improve,,
pomieścić,accommodate,,
pomocny,assistive,,
popyt,demand,,
porażka,failture,,
potomek,descendent,,
prawidłowo,properly,,
prawie,almost,,
problem,issue,,
prowadzić przez,go towards,,
próba,attempt,,
przeciętny,average,,
przecinek,comma,,
przedmiot,subject,,
przejąć kontrolę,assume control,,
przejście,aisle,,
przelewać,overflow,,
przenieść,convey,,
prześcieradło,bedsheet,,
przodek,ancestor,,
przyjąć,receive,,
przynajmniej,at least,,
przypadek,case,instance,
przyzwyczaić się,get used,,
rada,board,,
ranga,rank,,
recenzja,review,,
rejestr,record,,
reklama,advertisement,,
rezultat,outcome,,
rozdać,deal,,
rozdział,chapter,,
rozważać,consider,,
rozwiązać,resolve,,
różnica,distinction,,
rynek,market,,
samogłoska,vowel,,
schludny,neat,,
sięgać,reach,,
sięgać po,reach for,,
siła,strenght,,
składnia,syntax,,
skrzynia,case,,
służyć,serve,,
spojrzeć w kierunku,look towards,,
spotkanie,appointment,,
spółgłoska,consonant,,
sprawa,matter,case,
stosowanie,usage,,
szczoteczka do zębów,toothbrush,,
ściąga,cheatsheet,,
śledztwo,investigation,,
średnia (liczba),average,,
tablica,board,,
tak więc / zatem,thus,,
targ,fair,,
telefon komórkowy,cellphone,,
temat,subject,,
teren,site,,
to nie moja sprawa,it’s not my case,,
transakcja,deal,,
trefl,club,,
trochę,a bit of,,
ubezpieczenie,insurance,,
uczciwy,honest,fair,
umowa,agreement,,
uniknąć,avoid,,
uprawa,crop,,
usługa,service,,
usprawnienie,powers,,
ustanowić,establish,,
uważać za,consider,,
w razie wypadku,in case of emergency,,
w sumie,in total,,
w zasięgu,within,,
waga (jako przedmiot),scales,,
waluta,currency,,
wartość,worth,,
wcięcie,indentation,,
wejść po schodach,go up the steps,,
wesołe miasteczko,fair,,
widelec,fork,,
wiedza,knowledge,,
wizytówka,card,,
właściwie,inherently,,
współpracować / współpracownik,associate,,
wstrzymać się,abstain,,
wybory,election,,
wychowywać,raise a child,,
wydajny,efficient,,
wydajność,efficiency,yield,
wydanie,issue,,
wydawać (np. pieniądze),spend,,
wyglądać,appear,,
wyjątkowy,exceptional,,
wymyślić,invent,,
wyraźny,explicit,,
wyrażenie,expression,,
wyrównać,align,,
wysiłek,effort,,
występować / pojawić się,occur,,
wyszukiwarka,search engine,,
wytłumaczenie,explanation,,
wytyczne,guidelines,,
wzdłuż,along,,
wzór,formula,pattern,
zadowolony,content,,
zagnieżdżony,nested,,
zagranica,abroad,,
zagrożenie,threat,threatment,
zakładać (że),assume,,
zakres,span,,
zaleta,advantage,,
zależy od,is up to,,
założyć (np. rodzinę),establish,,
założyć (że),assume,,
zamieniam się w słuch,I am all ears,,
zamiennie,interchangeable,,
zapis,entry,record,
zapobiec,prevent,,
zareagować,respond,,
zarząd,board,,
zarządzać,manage,,
zarzut,charge,,
zastosować,apply,,
zatwierdzić,submit,,
zawartość,content,,
zawierać,contain,,
zaznaczyć,mark,,
zażądać,demand,,
zderzać się,bump,,
zdolny,able,,
zejść po schodach,go down the steps,,
zgłosić się,apply,,
złośliwy,malicious,,
zmiana (inaczej niż change),transition,,
znane,familiar,,
zresztą,in any case,,
zwiększyć,incrase,,
żądanie,demand,,
